time_ms,pointer,middle,ring,ecg
0,1319,2001,4095,2952
5,1343,2008,4095,573
9,1349,1997,4095,890
13,1307,1980,4095,2926
17,1269,1943,4095,2823
21,1256,1931,4095,1069
25,1237,1902,4095,1045
29,1199,1855,4095,2909
33,1148,1821,4095,2972
37,1144,1806,4095,1164
41,1147,1791,4095,983
45,1127,1763,4095,2748
49,1093,1717,4095,3303
53,1097,1703,4095,1723
57,1130,1703,4095,1177
61,1129,1684,4095,2591
65,1115,1671,4095,3555
69,1125,1660,4095,2069
73,1173,1661,4095,973
77,1199,1659,4095,1983
81,1208,1659,4095,3383
85,1225,1646,4095,2365
89,1301,1685,4095,1263
93,1351,1695,4095,1982
97,1379,1693,4095,3631
101,1419,1722,4095,2913
105,1503,1754,4095,1301
109,1591,1791,4095,1596
113,1651,1819,4095,3401
117,1721,1863,4095,2874
121,1845,1928,4095,955
125,1967,1983,4095,1135
129,2074,2029,4095,3049
133,2184,2084,4075,3019
137,2325,2147,4095,1190
141,2491,2207,4095,1017
145,2619,2275,4095,2580
149,2759,2316,4095,2780
153,2915,2387,4095,1125
157,3083,2454,4095,597
161,3257,2506,4095,1837
165,3388,2551,4095,2649
169,3565,2605,4095,1432
173,3773,2653,4095,568
177,3955,2682,4095,1549
181,4095,2715,4095,2638
185,4095,2725,4095,1619
189,4095,2765,4095,660
193,4095,2766,4095,1399
197,4095,2763,4095,3047
201,4095,2751,4095,1960
205,4095,2749,4095,142
209,4095,2731,4095,669
213,4095,2700,4095,2517
217,4095,2661,4095,2203
221,4095,2629,4095,479
225,4095,2589,4095,600
229,4095,2534,4095,2611
233,4095,2471,4095,2775
237,4095,2427,4095,1063
241,4095,2365,4095,704
245,4095,2298,4095,2281
249,4012,2230,4095,2632
253,3880,2165,4095,982
257,3783,2120,4095,555
261,3645,2056,4095,2149
265,3485,1975,4095,3035
269,3365,1915,4095,1589
273,3285,1864,4095,725
277,3195,1801,4095,1845
281,3060,1724,4095,3099
285,2966,1677,4095,2001
289,2887,1646,4095,750
293,2811,1599,4095,1448
297,2699,1555,4095,3000
301,2600,1512,4095,2253
305,2541,1493,4095,715
309,2479,1477,4095,1247
313,2379,1444,4095,3223
317,2287,1421,4095,2796
321,2234,1413,4095,954
325,2183,1415,4095,1017
329,2110,1417,4095,2941
333,2031,1403,4095,2943
337,1993,1419,4095,1211
341,1962,1435,4095,1059
345,1907,1435,4095,2749
349,1835,1451,4095,3092
353,1806,1461,4095,1451
357,1786,1485,4095,1061
361,1753,1515,4095,2556
365,1688,1523,4095,3259
369,1660,1545,4095,1750
373,1672,1574,4095,887
377,1652,1587,4095,2014
381,1610,1589,4095,3311
385,1613,1611,4095,2201
389,1629,1651,4095,957
393,1643,1675,4095,1830
397,1629,1681,4095,3403
401,1626,1691,4095,2570
405,1661,1719,4095,905
