time_ms,pointer,middle,ring,pinkie
1982,663,592,444,477
2001,659,607,450,492
2021,604,527,416,500
2040,711,628,482,507
2060,729,652,489,503
2079,687,614,461,494
2099,669,596,444,490
2119,645,581,424,488
2138,581,513,383,482
2158,670,596,457,476
2177,727,674,494,477
2197,659,592,441,475
2216,645,594,438,475
2236,586,526,388,480
2255,603,533,404,479
2275,693,636,479,481
2294,712,642,471,483
2314,654,602,448,486
2333,645,580,431,484
2353,572,506,371,480
2372,606,542,411,480
2392,693,637,469,479
2411,671,616,444,478
2431,670,602,429,479
2451,655,589,423,480
2470,572,508,369,482
2490,628,556,420,482
2509,735,666,485,482
2529,681,611,437,479
2548,653,597,434,479
2568,645,589,423,478
2587,565,499,362,477
2607,626,562,414,479
2626,714,642,457,477
2646,660,593,425,480
2665,647,589,417,477
2685,642,590,414,477
2704,573,511,355,480
2724,669,601,417,479
2744,700,627,403,478
2763,668,607,344,480
2783,652,595,296,479
2802,650,584,232,476
2822,589,514,147,473
2841,684,602,186,474
2861,738,667,205,474
2880,670,617,112,476
2900,670,602,97,476
2919,608,528,80,480
2939,625,542,96,480
2978,649,602,207,444
2997,644,583,195,459
3017,653,595,208,478
3036,578,513,151,490
3056,623,552,197,496
3076,716,642,271,498
3095,674,613,261,490
3115,657,589,267,493
3134,644,579,292,487
3154,568,499,268,485
3173,617,555,379,488
3193,714,649,560,489
3212,673,617,645,495
3232,677,607,812,505
3251,695,633,927,524
3271,629,564,927,541
3290,690,606,927,535
3310,768,709,927,524
3329,684,604,926,515
3349,638,586,927,501
3369,619,566,931,492
3389,544,495,794,472
3409,629,581,746,455
3428,612,568,541,436
3448,550,506,360,420
3467,546,506,276,414
3487,485,424,220,419
3506,553,491,295,438
3526,684,611,419,453
3545,681,607,444,469
3565,676,599,463,486
3584,684,609,491,491
3604,592,523,446,498
3623,640,574,486,497
3643,736,672,553,493
3662,672,621,508,486
3682,646,599,496,485
3702,636,576,495,479
3721,550,499,427,477
3741,623,543,454,474
3760,703,637,493,470
3780,653,592,396,471
3799,646,593,334,466
3819,643,587,322,470
3838,584,511,303,472
3858,697,617,446,474
3877,721,647,546,481
3897,700,642,572,490
3916,704,625,613,494
3936,682,621,611,500
11939,555,501,351,482
11958,450,410,256,412
11978,492,449,264,397
11997,550,516,315,415
12017,516,475,306,410
12036,576,517,359,419
12056,589,519,377,423
12076,704,609,477,481
12095,868,760,601,569
12115,836,732,559,565
12134,750,668,496,539
12154,709,645,466,516
12173,623,560,407,496
12193,676,613,467,499
12212,778,705,540,506
12232,772,698,539,472
12251,755,685,532,426
12271,742,680,522,400
12290,634,569,432,356
12310,649,586,437,366
12329,702,648,463,394
12349,582,537,353,348
12369,535,501,319,350
12388,537,493,326,382
12408,502,440,305,404
12427,600,528,391,463
12447,726,643,476,510
12466,771,678,527,539
12486,821,721,575,553
12505,835,727,577,542
12525,769,671,540,519
12544,821,732,576,534
12564,808,737,551,532
12583,710,653,482,503
12603,656,611,437,486
12622,558,527,353,433
12642,452,422,275,382
12661,534,501,329,398
12681,620,577,389,426
12701,599,536,379,431
12720,647,573,415,452
12740,677,584,453,480
12759,767,662,547,535
12779,899,792,639,572
12798,882,782,616,550
12818,812,727,566,515
12837,721,685,528,485
12857,632,577,430,427
12876,608,569,415,394
12896,634,604,423,379
12933,589,543,423,380
12952,699,629,484,478
12972,773,697,544,552
12992,760,642,531,588
13011,823,731,587,630
13031,805,729,546,620
13050,728,667,500,575
13070,693,630,468,539
13089,647,593,434,507
13109,572,528,398,466
13128,651,597,453,467
13148,716,680,503,471
13167,662,611,453,441
13187,671,614,452,437
13206,613,553,415,397
13226,639,552,429,380
13245,734,656,490,405
13265,721,665,481,416
13285,683,629,457,425
13304,638,604,444,439
13324,594,527,404,437
13344,660,584,438,458
13364,722,665,490,486
13383,677,624,463,474
13403,670,601,451,467
13422,656,606,448,456
13442,599,522,409,424
13461,684,612,467,447
13481,720,641,485,449
13500,692,620,456,454
13520,672,607,460,451
13539,646,590,430,441
13559,613,535,418,433
13578,697,626,473,467
13598,751,702,530,495
13618,682,625,475,490
13637,679,613,476,497
13657,619,548,435,483
13676,632,563,448,495
13696,726,667,498,512
13715,713,654,483,495
13735,692,627,457,474
13754,677,610,445,460
13774,607,540,399,445
13793,636,567,436,459
13813,726,661,493,489
13832,694,632,470,485
13852,679,637,459,479
13871,684,622,458,476
13891,611,543,407,453
13975,487,439,256,350
13994,676,605,332,495
14014,826,740,461,603
14034,835,747,529,644
14053,819,723,562,651
14073,772,696,545,621
14092,691,599,485,581
14112,741,665,531,574
14131,755,715,527,542
14151,699,638,469,467
14170,670,623,452,412
14190,616,558,410,347
14209,602,536,406,317
14229,690,643,461,335
14248,726,682,472,344
14268,685,632,453,331
14287,683,617,461,341
14307,614,554,402,334
14327,646,570,438,349
14346,753,678,492,392
14366,714,654,469,392
14386,678,638,460,406
14406,670,627,457,425
14425,602,545,414,429
14445,691,620,480,465
14464,722,664,490,483
14484,702,642,460,478
14503,681,620,454,466
14523,663,608,441,455
14542,603,538,410,425
14562,695,619,471,444
14581,740,687,503,467
14601,687,616,457,461
14620,678,612,458,476
14640,618,563,414,470
14660,621,545,414,479
14679,710,660,484,524
14699,741,695,499,551
14718,677,633,459,563
14738,665,621,450,582
14757,589,534,396,556
14777,635,551,424,558
14796,721,660,497,565
14816,699,640,472,549
14835,681,626,459,542
14855,688,617,454,547
14874,610,530,402,530
14894,644,582,441,554
14913,739,673,497,587
14933,690,629,461,568
18975,520,470,327,326
18994,451,418,252,219
19014,493,470,264,162
19034,464,446,247,152
19053,495,463,286,190
19073,565,513,343,256
19092,549,476,352,324
19112,700,606,470,419
19131,890,787,630,528
19151,846,745,590,570
19170,740,665,492,564
19190,648,600,412,562
19209,499,458,309,559
19229,523,487,329,557
19248,623,602,404,550
19268,576,540,375,544
19287,593,550,391,540
19307,623,566,412,535
19327,577,506,388,528
19346,691,613,461,520
19366,746,682,508,530
19386,720,651,492,524
19406,743,677,522,533
19425,688,611,485,534
19445,723,638,513,525
19464,775,708,539,497
19484,719,668,492,465
19503,656,620,449,425
19523,571,546,365,350
19542,435,413,257,292
19562,465,439,275,286
19581,578,551,349,315
19601,567,528,347,341
19620,616,550,387,386
19640,688,623,465,456
19660,705,611,496,535
19679,751,661,511,553
19699,782,713,518,548
19718,683,617,434,533
19738,618,581,397,520
19757,590,552,373,497
19777,509,468,331,480
19796,618,566,411,471
19816,669,623,451,473
19835,710,648,496,512
19855,747,676,528,546
19874,735,670,516,551
19894,644,569,443,531
19913,696,632,465,514
19933,729,687,487,506
33829,675,605,469,191
33849,753,676,533,1
33869,874,789,631,2
33888,870,774,606,0
33908,817,740,566,2
33927,768,702,520,1
33947,652,599,435,1
33966,641,597,419,124
33986,694,655,436,420
34005,589,553,339,517
34025,540,511,306,552
34044,531,505,306,547
34064,503,455,299,482
34083,612,543,382,460
34103,746,676,487,447
34122,818,728,561,417
34142,881,776,627,399
34161,892,791,638,370
34181,807,712,561,291
34201,829,745,560,308
34220,781,721,513,304
34240,652,624,410,246
34259,539,523,318,196
34279,537,522,324,204
34298,481,455,286,173
34318,592,557,369,251
34337,683,633,431,318
34357,703,642,459,342
34376,808,723,558,433
34396,842,732,585,456
34415,849,748,599,471
34435,909,809,628,514
34454,877,798,584,488
34474,759,698,494,405
34494,683,647,440,343
34513,551,516,329,170
34533,506,487,297,48
34552,572,556,351,48
34572,569,537,337,31
34591,585,548,358,100
34611,644,590,404,231
34630,679,600,449,312
34650,826,722,574,440
34669,921,859,685,563
34689,919,819,638,521
34708,859,772,580,472
34728,792,721,520,419
34747,659,605,422,299
34767,612,576,384,236
34786,598,583,355,195
34824,593,554,410,140
34844,728,680,508,207
34864,768,680,545,178
34883,859,759,613,221
34903,923,849,665,323
34922,866,766,579,337
34942,792,716,515,381
34961,727,668,465,436
34981,610,552,396,450
35000,635,576,402,570
35020,664,629,425,678
35039,575,552,344,686
35059,507,493,285,696
35078,482,464,261,722
35098,436,404,233,715
35118,558,516,329,831
35137,635,581,388,885
35157,674,607,419,849
35176,708,636,452,776
35196,718,645,474,664
35215,786,690,558,590
35235,922,834,686,618
35254,925,916,754,624
35274,926,859,682,531
35293,888,793,607,479
35313,757,668,483,422
35332,663,609,427,425
35352,674,647,436,511
35371,652,633,420,562
35391,603,585,391,585
35411,595,565,381,644
35430,485,457,300,611
35450,487,457,280,679
35469,534,512,298,808
35489,523,497,289,848
35508,547,511,319,844
35528,601,552,371,790
35547,599,539,383,662
35567,727,631,492,644
35586,913,812,648,697
35606,921,805,651,648
35625,901,806,643,644
35645,863,773,605,641
35664,733,658,503,578
35684,717,657,481,626
35703,713,672,462,677
35723,622,596,397,652
35743,569,554,360,659
35762,522,512,318,690
35782,444,425,252,676
35820,593,560,396,807
35839,609,566,374,766
35859,653,600,399,720
35878,700,637,450,670
35898,739,640,501,602
35917,874,773,618,617
35937,925,866,700,651
35956,930,846,679,587
35976,894,797,637,529
35995,831,756,572,457
36015,694,633,463,334
36035,707,656,471,334
36054,678,642,437,319
36074,616,597,411,221
36093,602,591,401,167
36113,615,588,415,135
36132,599,551,396,116
36152,710,637,466,202
36171,775,717,512,239
36191,720,667,478,138
36210,719,652,481,90
36230,669,600,430,53
36249,662,595,436,105
36269,735,664,490,244
36288,744,702,489,334
36308,700,657,464,366
36327,698,637,452,448
36347,622,566,410,452
36367,651,582,431,535
36386,725,678,483,639
36406,692,635,447,614
36425,670,620,442,606
36445,677,626,437,585
36464,617,550,402,515
36484,664,603,442,534
36503,755,695,505,595
36523,717,673,472,502
36542,706,651,469,368
36562,701,637,457,170
36581,630,566,411,2
36601,684,612,448,1
