time_ms,pointer,middle,ring,ecg
0,330,140,177,2
9,316,179,37,0
19,287,211,16,1
29,259,180,9,0
39,257,216,7,0
49,256,189,5,0
58,267,209,4,1
68,285,218,5,2
78,306,211,6,0
88,330,259,3,0
97,332,232,2,0
107,357,269,1,0
117,389,267,2,0
127,417,284,3,0
136,444,325,4,1
146,453,303,4,0
156,461,344,5,1
166,468,327,1,0
175,498,358,9,1
185,503,371,8,2
195,576,371,32,1
205,591,429,65,0
215,563,402,128,2
224,535,415,187,3
234,491,384,221,1
244,441,352,254,3
254,419,366,298,4
263,421,322,359,6
273,412,339,388,6
283,398,310,399,4
293,384,305,405,4
302,388,313,408,6
312,377,273,397,8
322,396,314,401,5
332,420,300,391,4
342,455,331,396,6
351,478,338,384,6
361,490,334,367,3
371,507,383,351,6
381,523,359,344,3
390,554,398,356,4
400,568,398,358,4
410,588,409,370,4
420,592,444,367,6
429,571,404,352,4
439,553,430,343,4
449,523,391,327,2
459,492,393,321,5
468,488,387,328,4
478,476,349,342,5
488,484,385,362,4
498,461,345,354,5
508,449,358,363,5
517,427,331,346,4
527,401,312,344,4
537,404,337,356,3
547,398,297,361,4
556,406,320,372,3
566,410,306,380,5
576,419,315,390,5
586,431,332,391,6
595,420,297,384,3
605,423,333,384,3
615,414,305,367,3
625,410,319,369,4
634,413,312,367,3
644,421,300,375,5
654,443,347,397,6
664,491,334,427,4
674,504,368,432,6
683,496,356,413,3
693,469,348,392,5
703,446,361,360,6
713,419,311,335,5
722,405,331,318,4
732,399,304,312,5
742,401,315,314,3
752,393,312,301,3
761,386,279,296,4
771,383,314,290,2
781,388,285,297,3
791,400,312,326,4
800,415,304,316,5
810,416,305,327,5
820,439,339,343,3
830,444,313,352,3
840,446,343,355,5
849,452,323,364,5
859,429,328,358,5
869,451,348,376,6
879,479,328,419,4
888,565,401,499,6
898,584,395,513,5
908,588,423,519,5
918,571,415,510,6
927,523,386,456,6
937,476,397,414,5
947,410,333,355,4
957,351,319,304,3
967,307,269,267,3
995,236,215,366,5
1005,260,240,378,6
1014,264,208,342,5
1024,279,225,312,4
1034,302,224,289,4
1044,309,222,267,3
1053,327,264,258,4
1063,338,236,259,3
1073,348,266,263,2
1083,358,260,264,3
1092,355,269,263,4
1102,380,292,277,5
1112,397,269,291,4
1122,425,321,307,4
1132,458,316,332,4
1141,486,347,350,3
1151,525,365,370,6
1161,540,364,384,5
1171,558,413,393,5
1180,554,385,387,4
1190,549,410,382,5
1200,545,395,379,6
1210,529,391,374,4
1219,533,416,374,5
1229,513,373,360,6
1239,511,401,364,5
1249,512,379,370,3
1258,496,385,365,4
1268,490,384,360,5
1278,480,345,361,5
1288,483,381,367,3
1298,475,348,366,5
1307,465,364,363,6
1317,470,350,368,5
1327,459,338,361,4
1337,464,372,369,5
1346,470,338,368,4
1356,472,364,367,5
1366,473,345,361,3
1376,467,350,353,5
1385,480,369,359,4
1395,489,341,365,4
1405,493,378,367,5
1415,497,359,369,5
1425,496,374,366,4
1434,484,365,352,4
1444,460,338,334,5
1454,456,368,324,4
1464,433,324,315,5
1473,425,341,309,5
1483,428,322,313,5
1493,424,321,316,5
1503,430,344,318,4
1512,428,306,326,4
1522,428,338,331,6
1532,429,318,338,3
1542,436,333,353,4
1551,449,343,372,3
1561,444,314,374,6
1571,454,356,396,3
1581,456,329,406,4
1591,456,348,406,5
1600,452,334,400,5
1610,433,321,396,4
1620,436,348,396,3
1630,424,312,389,7
1639,434,336,393,4
1649,444,322,397,6
1659,432,327,385,4
1669,459,348,396,5
1678,454,318,389,6
1688,456,357,374,6
1698,446,325,358,4
1708,448,340,349,3
1717,458,341,346,5
1727,443,319,326,4
1737,441,355,324,4
1747,434,322,320,5
1757,428,336,315,3
1766,427,321,318,4
1776,420,317,322,3
1786,431,343,331,4
1796,425,305,338,5
1805,432,338,348,5
1815,432,319,356,4
1825,422,328,354,5
1835,432,336,371,3
1844,431,306,375,5
1854,433,345,380,5
1864,430,315,371,5
1874,446,339,390,4
1883,454,332,390,4
1893,474,336,408,6
1903,507,384,422,4
1913,523,359,429,6
1923,541,396,432,5
1932,540,386,421,7
1942,525,390,408,6
1952,532,404,398,6
1962,512,364,377,6
