time_ms,pointer,middle,ring,ecg
0,2127,2003,3165,574
20,2117,2007,3593,1497
40,2005,1901,2900,3340
60,1915,1814,2852,3327
80,1877,1784,2915,1229
100,1842,1775,2920,600
120,1817,1791,3591,1519
140,1759,1827,2889,3453
160,1721,1827,2861,3299
180,1677,1834,2919,1262
200,1653,1839,2935,503
220,1631,1849,3601,1451
240,1623,1839,2889,4095
260,1627,1833,2863,4019
280,1659,1838,2923,979
300,1669,1849,2925,453
320,1677,1848,3605,1515
340,1699,1835,2905,3497
360,1715,1847,2861,3379
380,1736,1863,2916,1235
400,1742,1887,2932,585
420,1754,1892,3577,1519
440,1745,1871,2893,3733
460,1743,1839,2892,3711
480,1737,1839,2918,1707
500,1725,1846,2926,1031
520,1727,1851,3594,1655
540,1733,1863,2899,3469
560,1723,1853,2887,3220
580,1767,1881,2918,1019
600,1818,1901,2938,346
620,1867,1931,3603,1175
640,1893,1949,2890,3190
660,1901,1977,2878,3223
680,1909,1994,2923,1175
700,1917,2015,2924,399
720,1926,2007,3596,1300
740,1893,1981,2898,3276
760,1861,1949,2902,3318
780,1833,1934,2933,1225
800,1816,1925,2927,430
820,1801,1916,3595,1269
840,1804,1893,2901,3292
860,1789,1867,2888,3336
880,1817,1869,2914,1223
900,1845,1893,2935,469
920,1865,1915,3589,1367
940,1881,1912,2891,3352
960,1879,1911,2901,3509
980,1887,1928,2917,1277
1201,1824,1851,3307,803
1221,1781,1832,3399,1959
1241,1664,1716,2907,3763
1261,1614,1654,2846,3051
1281,1613,1639,2943,972
1301,1651,1679,2935,779
1321,1695,1725,3411,2293
1341,1735,1755,2899,4095
1361,1767,1785,2857,3573
1381,1811,1821,2941,1272
1401,1843,1853,2925,595
1421,1881,1880,3420,1800
1441,1899,1912,2903,3342
1461,1927,1875,2856,2796
1481,1965,1919,2937,671
1501,2011,1944,2943,363
1521,2021,1951,3405,1775
1541,2013,1958,2907,3539
1561,2005,1933,2853,2815
1581,1976,1955,2942,701
1601,1971,1967,2938,467
1621,1938,1944,3428,1814
1641,1894,1928,2897,3539
1661,1879,1907,2847,2984
1681,1861,1900,2939,803
1701,1851,1901,2953,431
1721,1855,1903,3427,1919
1741,1845,1890,2904,3613
1761,1866,1887,2841,2981
1781,1899,1893,2939,888
1801,1929,1915,2939,489
1821,1936,1931,3451,1898
1841,1934,1929,2904,3687
1861,1913,1901,2858,3067
1881,1915,1915,2949,915
1901,1927,1913,2958,531
1921,1928,1911,3451,1883
1941,1895,1909,2901,3599
1961,1876,1875,2846,2997
1981,1870,1877,2932,1055
2001,1869,1865,2927,2325
2021,1870,1866,3427,2351
2041,1835,1851,2908,3401
2061,1813,1843,2845,3069
2081,1811,1836,2922,915
2101,1829,1867,2941,505
2121,1847,1868,3448,1947
2141,1833,1867,2909,3671
2161,1827,1851,2853,3211
2181,1839,1875,2941,1105
2764,1957,2065,2927,1071
2784,1935,2019,2940,519
2804,1843,1903,3597,1489
2824,1771,1816,2905,3622
2844,1748,1769,2855,3402
2864,1752,1782,2967,1147
2884,1785,1807,2943,453
2904,1789,1831,3611,1467
2924,1791,1831,2904,4095
2944,1803,1839,2845,4095
2964,1821,1867,2939,973
2984,1839,1884,2939,349
3004,1846,1893,3576,1430
3024,1843,1878,2904,3503
3044,1830,1875,2858,3292
3064,1833,1884,2925,1323
3084,1855,1891,2940,598
3104,1861,1892,3593,1548
3124,1839,1866,2907,3661
3144,1823,1843,2853,3709
3164,1824,1854,2936,1563
3184,1837,1869,2938,969
3204,1853,1891,3599,1798
3224,1885,1895,2904,3590
3244,1919,1904,2861,3259
3264,1964,1917,2934,973
3284,2021,1961,2940,243
3304,2069,2005,3612,1195
3324,2079,2008,2905,3323
3344,2072,2010,2857,3131
3364,2055,2013,2933,1046
3384,2039,2019,2951,345
3404,2027,2015,3593,1307
3424,1991,1997,2915,3262
3444,1959,1977,2895,3155
3464,1951,1995,2927,1087
3484,1955,1991,2941,495
3504,1965,1979,3618,1390
3524,1972,1971,2901,3337
3544,1963,1961,2904,3227
3564,1961,1961,2937,1253
3584,1973,1981,2940,393
3604,1975,1984,3621,1237
3624,1960,1968,2921,3412
3644,1939,1949,2898,3397
3664,1949,1944,2925,1307
3684,1955,1939,2938,461
3704,1949,1943,3603,1243
3724,1934,1915,2907,3452
3744,1925,1907,2901,3434
4798,1906,1891,2956,831
4819,1869,1865,2933,487
4839,1788,1781,3225,2742
4859,1728,1723,2897,4095
4879,1738,1727,2860,2647
4899,1775,1785,2956,571
4919,1816,1829,2927,599
4939,1837,1864,3263,2260
4959,1853,1892,2889,3754
4979,1869,1914,2867,2645
4999,1880,1935,2941,812
5019,1885,1945,2951,703
5039,1897,1939,3279,2431
5059,1886,1912,2885,4051
5079,1875,1909,2860,3217
5099,1875,1917,2955,1172
5119,1887,1927,2940,1006
5139,1890,1927,3297,2541
5159,1901,1899,2899,3703
5179,1903,1901,2847,2536
5199,1951,1914,2943,547
5219,1991,1956,2939,339
5239,1999,1959,3284,2091
5259,2029,1963,2907,3549
5279,2037,1972,2851,2552
5299,2073,1996,2955,714
5319,2085,2019,2940,553
5339,2093,2008,3288,2093
5359,2018,1983,2910,3641
5379,2019,1961,2860,2629
5399,1994,1965,2965,623
5419,1983,1963,2940,519
5439,2003,1955,3285,2088
5459,1957,1941,2908,3629
5479,1939,1932,2845,2749
5499,1947,1944,2968,637
5519,1944,1946,2937,461
5539,1967,1961,3321,2140
5559,1955,1945,2905,3691
5579,2005,1947,2855,2677
5599,1976,1961,2971,717
5619,1994,1976,2943,503
5639,1979,1979,3365,2189
5659,1973,1966,2915,3653
5679,1951,1949,2860,2824
5699,1944,1949,2963,731
5719,1929,1945,2943,562
5739,1951,1944,3339,2129
5759,1931,1919,2905,4095
5779,1919,1912,2851,3405
6135,2025,1971,2956,391
6156,2059,1961,3241,2183
6176,1991,1884,2898,3573
6196,1945,1839,2853,2438
6216,1949,1852,2951,639
6236,1945,1871,2943,535
6256,1965,1895,3259,2221
6276,1979,1928,2907,3527
6296,1962,1932,2852,2709
6316,1967,1945,2957,540
6336,1971,1963,2951,534
6356,1960,1957,3271,2327
6376,1959,1946,2899,3725
6396,1966,1939,2861,2637
6416,1997,1958,2970,731
6436,2025,1980,2942,638
6456,2030,1981,3292,2252
6476,2013,1979,2915,3701
6496,2011,1965,2859,2734
6516,2013,1974,2967,694
6536,2005,1994,2955,540
6556,2003,1988,3289,2275
6576,1967,1976,2907,3903
6596,1948,1957,2863,2765
6616,1951,1959,2956,733
6636,1937,1963,2957,612
6656,1925,1963,3324,2137
6676,1908,1929,2916,4095
6696,1903,1927,2855,4095
6716,1929,1939,2973,650
6736,1927,1945,2959,533
6756,1920,1931,3324,2173
6776,1893,1897,2917,3639
6796,1883,1884,2861,2743
6816,1883,1894,2973,781
6836,1896,1903,2940,652
6856,1893,1910,3337,2348
6876,1893,1915,2910,3987
6896,1899,1919,2863,2940
6916,1903,1935,2972,1112
6936,1911,1943,2935,1052
6956,1926,1951,3382,2647
6976,1918,1935,2911,3917
6996,1945,1932,2859,2736
7016,1977,1957,2971,661
7036,2027,1973,2939,313
7056,2069,1992,3401,1954
7076,2093,1991,2915,3476
7096,2095,1995,2847,2719
7116,2103,2021,2971,484
7830,2015,1927,2877,1864
7850,1983,1925,2952,949
7870,1874,1870,2949,995
7890,1805,1819,3169,2860
7910,1771,1815,2898,4095
7930,1784,1829,2868,2744
7950,1837,1897,2935,415
7970,1901,1973,2933,319
7990,1967,2023,3181,2219
8010,1994,2059,2899,3518
8030,2031,2125,2851,2406
8050,2075,2230,2933,500
8070,2091,2324,2936,453
8090,2094,2344,3195,2139
8110,2071,2348,2903,3624
8130,2055,2253,2856,2506
8150,2071,2157,2955,537
8170,2075,2119,2949,443
8190,2068,2077,3221,2333
8210,2043,2004,2893,3717
8230,2056,1951,2853,2570
8250,2067,1935,2938,645
8270,2075,1961,2949,595
8290,2059,2005,3224,2419
8310,2021,2004,2879,3667
8330,1983,1965,2841,2740
8350,1973,1909,2951,722
8370,1939,1889,2927,635
8390,1903,1861,3247,2553
8410,1846,1843,2877,4095
8430,1791,1838,2840,2853
8450,1772,1832,2962,611
8470,1764,1845,2931,555
8490,1787,1843,3243,2284
8510,1864,1883,2886,3711
8530,1943,1938,2836,2763
8550,2015,1971,2955,483
8570,2054,1999,2927,1511
8590,2071,1977,3282,4095
8610,2038,1941,2885,3621
8630,1979,1867,2843,2840
8650,1972,1845,2950,474
8670,2009,1831,2925,415
8690,2091,1831,3263,2236
8710,2166,1797,2891,4051
8730,2267,1781,2836,2965
8750,2376,1777,2943,743
8770,2473,1787,2932,525
8790,2565,1783,3300,2410
8810,2595,1783,2891,4095
10428,718,953,2841,4095
10449,1518,1493,2879,1523
10469,2195,1831,2902,357
10489,2657,2036,3531,1049
10509,2887,2135,2863,3767
10529,2879,2173,2871,4011
10549,2671,2181,2853,1821
10569,2413,2172,2898,366
10589,2379,2185,3562,675
10609,2511,2351,2871,3159
10629,2665,2577,2845,3208
10649,2788,2826,2868,1017
10669,2705,3039,2959,0
10689,2527,3161,3593,520
10709,2621,3134,2915,3019
10729,2943,2974,2915,3427
10749,3325,2770,2869,1379
10769,3631,2607,2935,131
10789,3688,2445,3539,863
10809,3563,2260,2891,3150
10829,3355,2099,2893,3793
10849,3142,1990,2901,1651
10869,2899,1901,2905,431
10889,2699,1839,3497,1044
10909,2659,1848,2869,3592
10929,2796,1956,2875,3957
10949,3099,2125,2890,1673
10969,3483,2277,2893,377
10989,3839,2348,3493,915
11009,4087,2279,2871,3417
11029,4014,2159,2863,3592
11049,3678,2059,2897,1925
11069,3229,2014,2897,2133
11089,2677,2084,3471,1417
11109,2039,2087,2886,3197
11129,1240,2012,2875,3704
11149,438,1929,2863,1597
11169,0,1783,2899,350
11189,0,1606,3438,931
11209,0,1381,2857,3516
11229,0,1103,2867,4095
11249,0,870,2854,1885
11269,0,727,2873,829
11289,0,701,3429,1261
11309,393,827,2851,3933
11329,1215,1113,2856,4095
11349,2165,1589,2873,1785
11369,3239,2259,2891,0
11389,4095,3115,3640,313
11409,4095,4095,2941,2427
14911,1655,1641,2851,4095
14931,2387,1938,2835,4095
14951,3436,2399,2879,776
14971,4095,3015,2902,0
14991,4095,3692,3611,309
15011,4095,4095,2877,2407
15031,4095,4095,2861,3188
15051,4095,4040,2899,815
15071,4095,3625,2931,0
15091,4095,3219,3609,229
15111,4095,2869,2899,3180
15131,4095,2615,2875,4095
15151,2824,2451,2894,1529
15171,1821,2315,2893,0
15191,969,2219,3545,617
15211,325,2139,2874,4095
15231,0,2137,2861,4095
15251,0,2216,2889,1829
15271,0,2351,2889,0
15291,3,2477,3539,821
15311,223,2569,2872,3672
15331,425,2585,2875,4095
15351,699,2516,2887,1573
15371,1005,2407,2898,0
15391,1355,2275,3560,444
15411,1656,2132,2855,4095
15431,1852,1965,2863,4095
15451,1957,1832,2860,1891
15471,1979,1735,2899,0
15491,1943,1658,3506,505
15511,1845,1571,2853,4095
15531,1710,1499,2859,4095
15551,1580,1459,2859,2141
15571,1495,1460,2889,158
15591,1451,1485,3497,810
15611,1419,1499,2859,4095
15631,1368,1518,2845,4095
15651,1327,1561,2861,2007
15671,1307,1617,2899,0
15691,1299,1637,3517,1663
15711,1290,1636,2867,4095
15731,1275,1621,2857,4095
15751,1243,1624,2859,1951
15771,1213,1629,2889,0
15791,1207,1655,3503,275
15811,1170,1643,2841,3934
15831,1141,1631,2857,4095
15851,1109,1607,2853,1836
15871,1082,1583,2898,0
15891,1065,1560,3495,403
17529,2424,1787,2872,4095
17550,2193,1491,2811,3551
17570,1950,1175,2939,613
17590,1832,995,2916,25
17610,1791,937,3149,4095
17630,1805,1036,2869,4095
17650,1803,1231,2813,3499
17670,1664,1471,2917,508
17690,1365,1701,2907,0
17710,860,1913,3211,1957
17730,335,2059,2855,4095
17750,89,2092,2823,3483
17770,64,2041,2924,367
17790,42,1885,2904,0
17810,4,1641,3224,2252
17830,192,1350,2861,4095
17850,587,1123,2824,4095
17870,1086,1039,2923,1165
17890,1645,1119,2904,231
17910,2276,1382,3237,2075
17930,2950,1789,2869,4095
